Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2019-12-05,64.0190658569336,64.09379930384016,63.332068402488204,63.58758484552913,74424400
2019-12-06,65.25567626953125,65.32558393574297,64.43368187672564,64.4770771543204,106075600
2019-12-09,64.34208679199219,65.27736940401036,63.85756627540826,65.08452929679349,128042400
2019-12-10,64.71814727783203,65.10142205791261,64.08657994334212,64.74707256593162,90420400
2019-12-11,65.27013397216797,65.34968584475796,64.72294450121728,64.7976705897848,78756800
2019-12-12,65.43647003173828,65.70163071358168,64.4385110100101,64.54939371100679,137310400
2019-12-13,66.32595825195312,66.3621148543044,65.3087108196568,65.43646905221725,133587600
2019-12-16,67.46134185791016,67.68552757886697,66.7671127956488,66.77193122541833,128186000
2019-12-17,67.5938949584961,67.92172458582058,67.20579452656094,67.39141065519956,114158400
2019-12-18,67.43240356445312,67.95308077804,67.28295135021965,67.44686620735443,116028400
2019-12-19,67.49991607666016,67.77953950681885,67.24199397293245,67.37457068647116,98369200
2019-12-20,67.3600845336914,68.13386528761846,67.14795598094871,68.0326267960508,275978000
2019-12-23,68.45928955078125,68.51955300989285,67.58426294746009,67.62283244405702,98572000
2019-12-24,68.52436828613281,68.6738278372129,68.19895150700309,68.62561412958978,48478800
2019-12-26,69.88390350341797,69.90077903385306,68.62801534674483,68.65694062384628,93121200
2019-12-27,69.85738372802734,70.86258124508305,69.45241513604739,70.1755764887449,146266000
2019-12-30,70.27201843261719,70.55405468487673,68.75338206119498,69.77544807084396,144114400
2019-12-31,70.78546905517578,70.79270037718412,69.78991537253853,69.88874834423947,100805600
2020-01-02,72.40050506591797,72.46076851156026,71.15666666509587,71.40977019424241,135480400
2020-01-03,71.6966552734375,72.45597354015936,71.47247692584565,71.62916047987068,146322800
2020-01-06,72.2679214477539,72.306490935931,70.56849521434884,70.8191932093111,118387200
2020-01-07,71.92805480957031,72.53309491165653,71.70869494472285,72.2775784441153,108872000
2020-01-08,73.0851058959961,73.38642316119072,71.63155170295238,71.63155170295238,132079200
2020-01-09,74.63751220703125,74.83035236373952,73.81069918448344,74.06138991692809,170108400
2020-01-10,74.80623626708984,75.370308736383,74.30484750773756,74.87132551313572,140644800
2020-01-13,76.4044189453125,76.4309386915993,75.00389679896787,75.12201817653433,121532000
2020-01-14,75.37271118164062,76.5514679630278,75.24977872842311,76.34175230410106,161954400
2020-01-15,75.0496826171875,76.05246721987251,74.61819429330173,75.17262239843001,121923600
2020-01-16,75.98980712890625,76.10069718746519,75.23048903454546,75.5920697800867,108829200
2020-01-17,76.83109283447266,76.83349837052724,75.93195936574989,76.23809509330889,137816400
2020-01-21,76.31040954589844,76.90098699093934,76.1730071029982,76.45986173724447,110843200
2020-01-22,76.58280944824219,77.13481745633268,76.48879491769239,76.79493065234263,101832400
